filename,angle_deg,visible_area_m2,normal_x,normal_y,normal_z
frame_000000.npy,64.061489,1.055075,-0.01332260,0.89916529,0.43740631
frame_000001.npy,14.585491,0.947334,-0.01670694,0.25126949,0.96777297
frame_000002.npy,34.563434,0.985804,-0.02602344,-0.56672114,0.82349859
frame_000003.npy,53.898085,0.949413,-0.04318535,-0.80681525,0.58922336
frame_000004.npy,30.269903,0.712927,-0.00154783,0.50407165,0.86366045
frame_000005.npy,48.551351,0.935783,0.03908158,0.74852974,0.66194854
frame_000006.npy,49.575947,0.672477,-0.01325217,0.76115080,0.64843955
